mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.92999995,"9 km E of P?hala, Hawaii",1652313293090,1652313477280,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73009882,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73009882&format=geojson,,,,,automatic,0,57,hv,73009882,",hv73009882,",",hv,",",origin,phase-data,",30.0,,0.109999999,177.0,md,earthquake,"M 1.9 - 9 km E of P?hala, Hawaii"
0.76,"4km SW of Anza, CA",1652313179940,1652313674970,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40016007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40016007&format=geojson,,,,,automatic,0,9,ci,40016007,",ci40016007,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.05144,0.28,115.0,ml,earthquake,"M 0.8 - 4km SW of Anza, CA"
0.9,"29 km ESE of Minto, Alaska",1652312996378,1652313733139,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022611e21j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022611e21j&format=geojson,,,,,automatic,0,12,ak,022611e21j,",ak022611e21j,",",ak,",",origin,phase-data,",,,0.75,,ml,earthquake,"M 0.9 - 29 km ESE of Minto, Alaska"
1.4,"42 km NW of Skwentna, Alaska",1652312708989,1652312883168,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022611d3hv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022611d3hv&format=geojson,,,,,automatic,0,30,ak,022611d3hv,",ak022611d3hv,",",ak,",",origin,phase-data,",,,0.71,,ml,earthquake,"M 1.4 - 42 km NW of Skwentna, Alaska"
1.27,"5km NW of Mira Loma, CA",1652312643350,1652314088569,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015991,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015991&format=geojson,1.0,2.2,,,automatic,0,25,ci,40015991,",ci40015991,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",29.0,0.01621,0.2,59.0,ml,earthquake,"M 1.3 - 5km NW of Mira Loma, CA"
2.21,"0 km S of P?hala, Hawaii",1652312531860,1652313167040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73009872,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73009872&format=geojson,,,,,automatic,0,75,hv,73009872,",us6000hkgj,hv73009872,",",us,hv,",",origin,phase-data,",43.0,,0.100000001,138.0,ml,earthquake,"M 2.2 - 0 km S of P?hala, Hawaii"
0.8,"28 km SE of Minto, Alaska",1652312308693,1652312396237,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022611bn11,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022611bn11&format=geojson,,,,,automatic,0,10,ak,022611bn11,",ak022611bn11,",",ak,",",origin,phase-data,",,,0.38,,ml,earthquake,"M 0.8 - 28 km SE of Minto, Alaska"
0.84,"6km NNW of The Geysers, CA",1652311315620,1652312833012,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732376,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732376&format=geojson,,,,,automatic,0,11,nc,73732376,",nc73732376,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.01319,0.02,146.0,md,earthquake,"M 0.8 - 6km NNW of The Geysers, CA"
0.9,"10 km SW of Wallsburg, Utah",1652311137660,1652365091830,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60497592,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60497592&format=geojson,,,,,reviewed,0,12,uu,60497592,",uu60497592,",",uu,",",origin,phase-data,",10.0,0.1526,0.19,126.0,md,earthquake,"M 0.9 - 10 km SW of Wallsburg, Utah"
1.35,"5km NNW of Boron, CA",1652310971360,1652395181361,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015983,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015983&format=geojson,,,,,reviewed,0,28,ci,40015983,",ci40015983,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.1079,0.12,153.0,ml,quarry blast,"M 1.4 Quarry Blast - 5km NNW of Boron, CA"
1.24,"4 km NE of Magna, Utah",1652309746980,1652362525550,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60497577,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60497577&format=geojson,,,,,reviewed,0,24,uu,60497577,",uu60497577,",",uu,",",origin,phase-data,",15.0,0.0209,0.11,53.0,md,earthquake,"M 1.2 - 4 km NE of Magna, Utah"
1.45,"5 km WSW of Kapowsin, Washington",1652308984660,1652387082200,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61830577,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61830577&format=geojson,,,,,reviewed,0,32,uw,61830577,",uw61830577,",",uw,",",origin,phase-data,",12.0,0.05755,0.11,306.0,ml,explosion,"M 1.5 Explosion - 5 km WSW of Kapowsin, Washington"
